,0,1
0,Uncle Ben, 'Spider-Man', 2002,"Remember, with great power comes great responsibility."
1,'Spider-Man', 2002,"Peter Parker: Some spiders change colors to blend into their environment. It's a defense mechanism.

Harry Osborn: Peter, what possibly makes you think I would want to know that?

Peter Parker: Who wouldn't?"
2,Dr. Otto Octavius, 'Spider-Man 2', 2004.,"Love should never be a secret. If you keep something as complicated as love stored up inside, it could make you sick."
3,Man in Times Square, 'Spider-Man 3', 2007.,"You know, I guess one person really can make a difference... 'Nuff said!"
4,Peter Parker, 'Spider-Man', 2002.,"No matter what I do, no matter how hard I try, the ones I love will always be the ones who pay."
5,Peter Parker about Mary Jane, 'Spider-Man', 2002.,"The great thing about MJ is... when you look in her eyes … everything... feels... not quite normal."
6,Aunt May, 'Spider-Man 2', 2004.,"I believe there's a hero in all of us, that keeps us honest, gives us strength, makes us noble, and finally allows us to die with pride, even though sometimes we have to be steady, and give up the thing we want the most. Even our dreams."
7,Peter Parker, 'Spider-Man 2', 2004.,"Amazed Kid: How'd you do that?

Peter Parker: Uh... Work out, plenty of rest. You know, eat your green vegetables."
8,Peter Parker, 'Spider-Man', 2002.,"Who am I? You sure you want to know? The story of my life is not for the faint of heart. If somebody said it was a happy little tale... if somebody told you I was just your average ordinary guy, not a care in the world… somebody lied."
9,Peter Parker, 'Spider-Man', 2002.,"Not everyone is meant to make a difference. But for me, the choice to lead an ordinary life is no longer an option."
10,Peter Parker, 'Spider-Man', 2002.,"Whatever life holds in store for me, I will never forget these words: 'With great power comes great responsibility.' This is my gift, my curse. Who am I? I'm Spider-Man."
11,'The Amazing Spider-Man 2', 2014.,"Electro: You're too late, Spider-Man. I designed this power grid. Now I'm gonna take back what is rightfully mine. I will control everything. And I will be like a god to them.
Spider-Man: A god named Sparkles?"
12,Aunt May, 'The Amazing Spider-Man', 2012.,"Secrets have a cost. They're not free. Not now, not ever."
13,'The Amazing Spider-Man 2',  2014.,"Aleksei Sytsevich: You fight me! You fight me now!
Spider-Man: You want me to come down there so you can kill me?
Aleksei Sytsevich: Yes!
Spider-Man: Okay, I'll be right there."
14,Gwen Stacy, 'The Amazing Spider-Man', 2012.,"I thought it was great what you did out there. Stupid, but great."
15,Peter Parker, 'The Amazing Spider-Man 2', 2014.,"Every day I wake up knowing that no matter how many lives I protect, no matter how many people call me a hero, someone even more powerful could change everything."
16,Peter Parker, 'The Amazing Spider-Man', 2012.,"We all have secrets: the ones we keep... and the ones that are kept from us."
17,Gwen Stacy, 'The Amazing Spider-Man 2', 2014.,"My wish for you is to become hope; people need that. And even if we fail, what better way is there to live?"
18,Uncle Ben, 'The Amazing Spider-Man', 2012.,'You are a lot like your father. You really are, Peter, and that's a good thing … He believed that if you could do good things for other people, you had a moral obligation to do those things! That's what's at stake here. Not choice. Responsibility."
19,Gwen Stacy, 'The Amazing Spider-Man 2', 2014., "It's easy to feel hopeful on a beautiful day like today, but there will be dark days ahead of us too. There will be days where you feel all alone, and that's when hope is needed most … you must promise me that you will hold on to hope."
20,Uncle Ben, 'The Amazing Spider-Man', 2012.,"If anyone's destined for greatness, it's you, son. You owe the world your gifts. You just have to figure out how to use them and know that wherever they take you, we'll always be here. So, come on home, Peter. You're my hero... and I love you!"
21,'Avengers: Infinity War', 2018.,"Peter Parker: I'm Peter, by the way.

Dr. Strange: Dr. Strange.

Peter Parker: Oh, we're using our made-up names. Um...I'm Spider-Man then."
22,'Spiderman: Homecoming', 2017.,"Ned Leeds: [to Peter] Can you summon an army of spiders?

Peter Parker: No, man!"
23,Spiderman, 'Spiderman: Homecoming', 2017.,"Wait a minute... You guys aren't the real Avengers! I can tell. Hulk gives it away."
24,Peter Parker.,"You can’t think about saving the world. You have to think about saving one person."
25,Spider-Ham.,"Miles, the hardest thing about this job is you can't always save everybody."
